20260317 084000;6723.5;6725.75;6723.5;6724.5;591
20260317 084100;6724.75;6730.75;6724.75;6730.75;807
20260317 084200;6731;6733.75;6731;6731.75;972
20260317 084300;6731.5;6731.75;6730;6730.5;718
20260317 084400;6730.75;6733.25;6729.75;6732.75;561
20260317 084500;6732.75;6733.75;6730.5;6731.5;708
20260317 084600;6731.5;6733.5;6731;6733.25;605
20260317 084700;6733.25;6733.5;6731;6731.5;635
20260317 084800;6731.75;6732;6730.25;6731.5;447
20260317 084900;6731.75;6731.75;6729.5;6730;444
20260317 085000;6730;6731;6729.5;6730;416
20260317 085100;6729.75;6730.5;6727.75;6729.75;741
20260317 085200;6729.5;6729.75;6727.25;6727.5;623
20260317 085300;6727.25;6728.25;6725;6725.25;524
20260317 085400;6725.5;6725.5;6722.25;6722.5;988
20260317 085500;6722.5;6726;6722.5;6724.75;599
20260317 085600;6724.75;6726.5;6724.75;6725.5;499
20260317 085700;6725.5;6727;6724.75;6724.75;421
20260317 085800;6725;6726.25;6724;6725.75;515
20260317 085900;6725.75;6726.75;6725.5;6726;403
20260317 090000;6726;6728.5;6726;6728.25;712
20260317 090100;6728;6731.75;6728;6731.25;853
20260317 090200;6731.25;6734;6730;6733.75;798
20260317 090300;6733.75;6735;6733.25;6734.5;984
20260317 090400;6734.5;6734.75;6732.5;6732.75;418
20260317 090500;6732.5;6732.5;6730.5;6731.5;400
20260317 090600;6731.5;6733.25;6730.5;6733;461
20260317 090700;6732.75;6733;6730.75;6732.25;368
20260317 090800;6732;6733.5;6730.25;6730.75;370
20260317 090900;6731;6733.75;6730.75;6733.5;405
20260317 091000;6733.25;6734;6732.25;6733.5;599
20260317 091100;6733.25;6735.5;6733.25;6734.5;576
20260317 091200;6734.75;6735.25;6733.25;6735.25;437
20260317 091300;6735.5;6735.5;6734.5;6734.5;259
20260317 091400;6734;6734.25;6733;6733;371
20260317 091500;6733.25;6736;6732;6734.25;1538
20260317 091600;6734.25;6736.25;6734;6734.75;417
20260317 091700;6735;6735;6734;6734.75;305
20260317 091800;6734.5;6734.75;6733;6733;296
20260317 091900;6733.25;6733.5;6731.5;6732.25;468
20260317 092000;6732.5;6737.75;6732.5;6736.5;920
20260317 092100;6736.5;6736.75;6735.25;6735.75;393
20260317 092200;6735.75;6737.5;6735;6736;353
20260317 092300;6736;6737.75;6736;6737.25;376
20260317 092400;6737.25;6739;6736.25;6737.5;1336
20260317 092500;6737.5;6738.75;6737.25;6738.25;351
20260317 092600;6738.25;6742.75;6738.25;6742.75;1199
20260317 092700;6742.5;6746.5;6742;6745.75;1579
20260317 092800;6745.75;6746;6744.25;6745.75;791
20260317 092900;6745.75;6747.25;6745.25;6747;795
20260317 093000;6747;6747.25;6746;6746;434
20260317 093100;6746.25;6748.25;6745;6747.5;1050
20260317 093200;6747.5;6748;6745.75;6745.75;489
20260317 093300;6745.5;6747;6745;6745.25;666
20260317 093400;6745.25;6746;6745;6746;432
20260317 093500;6746.25;6746.5;6744.75;6745.75;463
20260317 093600;6745.5;6746.25;6744.25;6745.5;664
20260317 093700;6745.25;6745.5;6744;6744;527
20260317 093800;6743.75;6744.5;6743.25;6743.75;756
20260317 093900;6743.75;6745;6742.25;6743;528
20260317 094000;6743.25;6744.75;6742.5;6743;523
20260317 094100;6743.25;6743.5;6741.75;6742.25;451
20260317 094200;6742.25;6743.5;6741.5;6742.5;450
20260317 094300;6742.5;6744.5;6742;6743.5;854
20260317 094400;6743.5;6744.25;6743;6743.25;303
20260317 094500;6743.25;6746.75;6743;6745.5;396
20260317 094600;6745.75;6745.75;6743;6743.75;325
20260317 094700;6744;6745.25;6744;6745.25;420
20260317 094800;6745.25;6747;6744.75;6746.25;513
20260317 094900;6746.5;6747.75;6745.5;6746.25;416
20260317 095000;6746;6746.25;6744.75;6745.75;397
20260317 095100;6745.75;6746.25;6743.75;6743.75;212
20260317 095200;6743.75;6745;6743.25;6744.5;386
20260317 095300;6744.5;6745;6743.75;6744;212
20260317 095400;6744.25;6745;6743.75;6744.5;302
20260317 095500;6744.5;6745.25;6744;6745;368
20260317 095600;6744.75;6745.5;6744;6745.5;610
20260317 095700;6745.25;6746.5;6744.5;6746;424
20260317 095800;6746;6747;6745.75;6746.5;489
20260317 095900;6746.75;6748;6746.25;6747.75;559
20260317 100000;6747.75;6747.75;6747;6747.5;253
20260317 100100;6747.5;6747.75;6744.75;6745.25;583
20260317 100200;6745.25;6746.25;6744.25;6746.25;720
20260317 100300;6746.25;6747.25;6745.25;6745.25;628
20260317 100400;6745.25;6745.75;6744.75;6745.75;308
20260317 100500;6745.75;6745.75;6744.25;6744.25;529
20260317 100600;6744.5;6744.75;6743.25;6744.25;456
20260317 100700;6744;6744.5;6741.5;6743.25;492
20260317 100800;6743.5;6744.25;6742;6742.5;511
20260317 100900;6742.5;6742.75;6741;6741;517
20260317 101000;6741.25;6741.75;6740.75;6741.5;200
20260317 101100;6741.5;6743;6741;6742.5;392
20260317 101200;6742.5;6743;6741.25;6742.25;359
20260317 101300;6742.25;6742.25;6740.5;6740.75;440
20260317 101400;6740.75;6742;6740.75;6742;279
20260317 101500;6741.75;6742;6740.75;6742;243
20260317 101600;6741.75;6741.75;6739.25;6740.25;465
20260317 101700;6740;6741.25;6738.75;6739;522
20260317 101800;6738.75;6739;6737;6737.5;631
20260317 101900;6737.25;6737.75;6735.5;6735.5;352
20260317 102000;6735.5;6737.5;6735.5;6736.75;311
